date_of_interest,CASE_COUNT,HOSPITALIZED_COUNT,DEATH_COUNT,BX_CASE_COUNT,BX_HOSPITALIZED_COUNT,BX_DEATH_COUNT,BK_CASE_COUNT,BK_HOSPITALIZED_COUNT,BK_DEATH_COUNT,MN_CASE_COUNT,MN_HOSPITALIZED_COUNT,MN_DEATH_COUNT,QN_CASE_COUNT,QN_HOSPITALIZED_COUNT,QN_DEATH_COUNT,SI_CASE_COUNT,SI_HOSPITALIZED_COUNT,SI_DEATH_COUNT
11/18/21,1310,51,8,172,13,2,428,19,3,297,2,0,318,15,3,95,3,0
11/19/21,1185,48,8,114,4,1,353,18,2,268,5,1,331,20,4,119,3,0
11/20/21,826,47,10,71,8,2,279,17,3,143,6,1,253,13,4,80,3,0
11/21/21,839,41,4,74,4,1,292,14,1,149,8,0,233,13,2,91,3,0
11/22/21,1529,56,7,152,12,0,519,16,4,297,6,0,413,17,2,148,5,1
11/23/21,1377,61,6,144,9,1,481,21,4,285,4,0,355,19,1,111,10,0
11/24/21,1418,65,10,160,16,2,461,16,5,255,11,1,387,15,2,155,8,0
11/25/21,532,65,8,35,10,0,189,25,3,104,4,0,148,23,3,56,3,2
11/26/21,1171,74,10,142,14,1,364,19,3,199,10,1,352,23,4,113,9,1
11/27/21,970,62,8,100,7,1,301,21,3,157,13,1,306,18,2,105,5,1
11/28/21,1066,55,9,88,9,2,322,16,1,192,5,0,334,23,6,129,5,0
11/29/21,2341,80,10,286,13,1,665,28,5,461,10,1,688,22,3,238,8,0
11/30/21,2002,88,7,277,19,0,576,22,4,394,11,0,574,33,2,179,6,1
12/1/21,2186,89,15,280,15,3,702,30,7,399,18,0,585,25,3,220,4,2
12/2/21,2101,86,15,304,16,4,629,30,6,397,14,1,557,21,3,213,8,1
12/3/21,1901,105,13,242,23,1,582,25,7,318,17,1,557,35,2,201,8,2
12/4/21,1328,84,11,175,17,2,385,29,4,186,14,2,413,21,3,169,4,0
12/5/21,1404,102,14,122,17,0,463,31,6,238,16,4,418,30,4,162,9,0
12/6/21,2794,133,8,363,22,2,847,53,3,581,15,1,749,37,2,252,6,0
12/7/21,2917,130,14,333,29,4,897,36,4,674,16,0,741,42,3,268,9,3
12/8/21,3136,137,7,339,27,2,979,48,1,808,20,0,741,44,4,263,6,0
12/9/21,3022,133,10,354,32,4,913,38,3,735,16,1,746,41,2,268,7,0
12/10/21,3091,164,16,347,44,2,985,47,7,729,26,1,775,40,6,253,15,0
12/11/21,2160,128,8,267,29,1,620,43,1,483,15,4,592,34,2,193,10,0
12/12/21,2794,135,17,257,28,5,868,44,7,791,16,0,663,39,4,212,10,1
12/13/21,7521,190,20,744,37,1,2389,56,6,2366,36,2,1576,52,9,441,12,2
12/14/21,10862,194,18,924,39,1,3420,63,6,4074,38,3,1942,51,5,498,9,3
12/15/21,13165,220,10,1093,54,5,4122,71,1,4934,36,2,2405,49,1,607,13,1
12/16/21,13833,313,13,1327,94,2,4510,94,4,4771,56,4,2613,66,1,609,15,2
12/17/21,13533,288,23,1513,77,2,4276,74,12,4265,54,3,2764,71,5,711,18,1
12/18/21,9936,277,18,1060,55,2,3241,93,7,2685,43,3,2329,64,5,614,22,1
12/19/21,10539,326,25,1068,85,5,3426,101,12,2710,54,4,2631,73,3,695,18,1
12/20/21,27899,408,13,3643,81,2,8909,144,9,7892,77,2,5985,91,0,1453,24,0
12/21/21,30330,430,11,4585,103,2,9414,133,1,7051,73,2,7445,105,4,1823,19,2
12/22/21,31298,669,28,5505,184,3,9405,190,12,6285,114,2,8133,161,10,1964,25,1
12/23/21,31751,661,23,5363,184,2,9587,204,5,6298,117,4,8540,136,8,1953,29,4
12/24/21,17429,566,40,2942,141,9,5580,202,18,3051,81,1,4851,128,10,1000,19,2
12/25/21,7777,602,33,1412,142,7,2342,201,7,1399,113,5,2162,135,9,458,23,5
12/26/21,22883,731,33,3718,179,4,7185,253,11,3566,111,4,6547,160,11,1863,33,3
12/27/21,51017,961,35,9788,274,8,14942,319,9,8409,148,5,14163,190,12,3708,37,1
12/28/21,49267,829,39,9771,204,6,14004,259,13,7905,149,5,14285,184,14,3292,41,1
12/29/21,50235,912,44,10081,264,15,14205,282,17,7690,131,6,14675,196,4,3570,52,2
12/30/21,47054,1010,35,9299,303,5,13364,320,17,7441,158,4,13865,189,9,3075,52,0
12/31/21,29015,806,54,5127,171,9,8711,288,19,4551,139,10,8937,175,14,1684,39,2
1/1/22,12006,854,56,1986,210,15,3516,254,16,1919,156,9,3716,192,15,868,50,1
1/2/22,32376,1291,62,4905,361,11,10095,367,19,5056,219,7,9847,303,22,2466,60,3
1/3/22,54772,1110,66,10533,358,11,16546,309,24,9083,182,8,15184,247,21,3406,26,2
1/4/22,48909,987,76,10124,325,12,13812,264,31,8669,144,9,13349,212,18,2948,50,6
1/5/22,40034,1093,80,7926,294,11,11104,349,23,7073,169,14,11406,242,25,2522,54,7
1/6/22,36143,929,93,6951,280,13,10380,255,30,6300,157,23,10419,203,23,2083,40,4
1/7/22,23030,804,87,4200,213,12,6778,253,24,4313,134,15,6425,175,34,1310,37,2
1/8/22,16118,751,96,2687,205,12,4804,221,40,2512,125,10,5015,162,28,1099,43,6
1/9/22,14337,711,119,1859,164,22,4700,218,46,2107,127,16,4548,162,29,1119,41,6
1/10/22,24252,903,110,4389,264,20,7270,238,37,3967,152,20,7082,201,25,1540,54,8
1/11/22,18041,746,132,3274,192,23,5372,234,45,2740,123,19,5379,167,40,1273,42,5
1/12/22,18349,739,119,3006,166,25,5631,227,44,3200,119,25,5400,195,21,1109,40,4
1/13/22,15774,701,125,2490,163,18,5019,200,45,2520,120,24,4784,186,32,958,42,6
1/14/22,13240,666,129,2205,179,28,4085,196,40,2318,109,17,3830,161,39,798,28,5
1/15/22,6635,486,100,869,115,14,2164,160,40,970,67,18,2096,112,25,536,39,3
1/16/22,6715,427,113,782,100,20,2326,124,48,1168,62,17,1987,111,25,452,33,3
1/17/22,9544,529,106,1169,103,23,3319,165,30,1632,78,13,2743,137,32,678,48,8
1/18/22,10749,481,119,1613,129,28,3462,136,36,2054,82,13,2918,121,35,700,18,7
1/19/22,8934,415,91,1251,108,17,2945,119,28,1732,63,13,2446,95,25,558,31,8
1/20/22,6862,453,117,932,99,17,2241,147,35,1403,86,25,1842,101,34,444,24,6
1/21/22,5665,364,107,736,102,19,1745,123,42,1134,67,14,1673,65,26,376,15,6
1/22/22,3515,289,84,445,82,10,1151,81,36,512,41,6,1138,72,24,269,16,8
1/23/22,3288,257,100,345,58,18,1166,80,36,592,39,18,969,67,26,216,16,2
1/24/22,5674,332,112,764,113,17,1878,91,43,1167,57,9,1475,61,29,387,12,14
1/25/22,4741,324,99,575,85,18,1600,112,36,982,37,18,1259,67,25,324,24,2
1/26/22,4111,264,110,508,64,25,1421,80,29,870,39,15,1062,63,36,249,19,5
1/27/22,3557,268,78,440,55,13,1182,88,26,755,43,8,917,55,23,261,30,8
1/28/22,2712,205,98,306,44,16,891,57,30,555,41,17,760,48,21,200,16,14
1/29/22,503,132,75,64,21,13,142,49,28,142,19,13,126,36,17,29,9,4
1/30/22,1428,137,86,136,20,16,492,49,32,316,16,9,367,37,24,117,16,5
1/31/22,3121,194,86,638,56,13,909,66,34,637,20,13,714,42,18,223,13,8
2/1/22,2233,163,71,281,31,12,756,55,21,523,20,9,523,47,27,148,12,2
2/2/22,2347,149,93,266,36,12,840,46,32,531,14,14,542,44,28,160,10,7
2/3/22,1997,123,70,252,31,11,751,48,21,415,15,14,459,20,16,120,12,8
2/4/22,1533,138,50,174,23,11,496,42,11,320,24,11,425,39,13,117,12,4
2/5/22,937,112,50,118,29,14,297,32,12,191,18,10,261,27,12,70,7,2
2/6/22,866,95,52,71,17,10,261,22,21,218,14,7,238,34,7,78,9,7
2/7/22,1608,98,39,191,21,6,535,30,18,367,19,4,404,25,6,111,4,5
2/8/22,1506,120,56,194,37,8,528,37,28,372,11,6,311,30,12,101,6,2
2/9/22,1315,106,48,160,24,8,403,36,15,340,15,8,329,25,13,81,7,4
2/10/22,1211,81,39,126,18,4,400,30,13,292,14,5,320,14,11,73,5,6
2/11/22,982,92,43,132,24,10,320,28,11,234,10,7,229,25,10,67,5,5
2/12/22,630,66,33,66,15,7,214,22,8,142,13,4,150,10,10,58,6,4
2/13/22,455,53,39,53,16,11,155,9,17,103,10,4,109,13,4,35,5,3
2/14/22,1014,66,20,96,13,1,357,22,10,274,14,3,217,15,2,70,3,4
2/15/22,931,66,22,90,14,1,298,28,5,266,5,5,204,15,10,73,5,1
2/16/22,935,56,25,88,13,6,317,22,8,251,8,3,219,10,6,60,3,2
2/17/22,812,54,39,80,10,6,260,15,14,230,11,11,197,15,7,45,3,1
2/18/22,660,48,30,68,14,4,214,9,10,148,7,6,174,12,7,56,6,3
2/19/22,419,36,25,40,8,4,99,11,8,121,6,3,125,9,9,34,2,1
2/20/22,377,30,14,43,12,2,114,8,7,118,3,0,71,5,4,31,2,1
2/21/22,501,35,21,45,11,3,138,9,3,138,6,2,147,8,11,33,1,2
2/22/22,628,40,9,63,10,2,203,14,3,165,2,1,143,7,3,54,7,0
2/23/22,637,5,11,58,4,2,184,1,4,229,0,1,130,0,4,36,0,0
2/24/22,558,0,5,73,0,2,142,0,1,172,0,1,135,0,0,36,0,1
